Name,Text Length,Language Count,Languages,Categories in common,Match Score
Maulana_Karenga,1374,9,en ar de fr gl ja no sw tr,Category:Prisoners_and_detainees_of_California Category:American_people_convicted_of_assault,1.947217146
Nino_Durden,325,1,en,,
,,,,,
Jerry_Manuel,1096,4,en ar fr zh,Category:Detroit_Tigers_players Category:Major_League_Baseball_bench_coaches Category:Bristol_Tigers_players Category:Evansville_Triplets_players Category:Lakeland_Tigers_players Category:Major_League_Baseball_third_base_coaches Category:American_expatriate_baseball_players_in_Canada Category:Toledo_Mud_Hens_players,2.60674668
Lance_Parrish,1192,5,en ar ja pl pt,,
,,,,,
Robbie_Earl,1057,8,en ar de fi fr lv sv uk,Category:Ice_hockey_people_from_California Category:Houston_Aeros_(1994–2013)_players Category:Minnesota_Wild_players Category:USA_Hockey_National_Team_Development_Program_players Category:American_men's_ice_hockey_left_wingers,4.027060714
Jason_Zucker,1059,9,en ar de fi fr lv pl ru sv,,
,,,,,
Drew_McFedries,1185,3,en da ja,Category:Middleweight_mixed_martial_artists Category:Light_heavyweight_mixed_martial_artists Category:Mixed_martial_artists_from_Iowa Category:People_from_Bettendorf,_Iowa
Jordan_Johnson_(fighter),668,2,en pt,,
,,,,,
Dee_Brown_(baseball),363,4,en ar ja zh,Category:All-Star_Futures_Game_players Category:Wichita_Wranglers_players Category:Kansas_City_Royals_players Category:Oakland_Athletics_players Category:Omaha_Royals_players,2.889799689
Billy_Butler_(baseball),1433,7,en ar fr ja ko pl simple,,
,,,,,
Alma_Wheeler_Smith,488,1,en,Category:21st-century_American_politicians Category:School_board_members_in_Michigan Category:Members_of_the_Michigan_House_of_Representatives Category:21st-century_American_women_politicians Category:Michigan_Democrats Category:Women_state_legislators_in_Michigan Category:Politicians_from_Ann_Arbor,_Michigan
Lynn_N._Rivers,260,4,en arz de it,,
,,,,,
Forest_Whitaker,3101,66,en af an ar arz ast az azb bcl be be-x-old bg bn ca cs cy da de el eo es et eu fa fi fr ga gl he hr ht hu hy id ig ilo is it ja ka ko lv mg mn nl no pl pt ro ru sco sh si simple sk sr sv ta th tr uk vi vo xmf yo zh,Category:Outstanding_Performance_by_a_Male_Actor_in_a_Leading_Role_Screen_Actors_Guild_Award_winners Category:American_male_television_actors Category:Film_directors_from_Los_Angeles Category:Best_Drama_Actor_Golden_Globe_(film)_winners Category:Best_Actor_Academy_Award_winners Category:20th-century_American_male_actors Category:Cannes_Film_Festival_Award_for_Best_Actor_winners Category:21st-century_American_male_actors Category:Film_producers_from_California Category:American_male_film_actors,3.404037683
Sean_Penn,3899,80,en ace af an ar arz ast az azb bar be bg bn br bs ca ckb co cs cy da de el eml eo es et eu fa fi fr ga gl gv he hr ht hu hy id ilo io it ja ka kk ko kw la lt lv mg mk ml mn ms nl no pl pt ro ru sco sh simple sk sl sr sv th tr uk vi vo war wuu xmf yo zh zh-yue,,
,,,,,
Leilah_Weinraub,325,1,en,Category:LGBT_directors Category:Lesbian_artists,2.514842114
Kimberly_Peirce,1289,14,en ca de fa fr it ja mg pt ru sh simple sv uk,,
,,,,,
E-40,2325,23,en ar arz azb cs de es fa fi fr he hr hu it ko nl pl pt ro ru sv tr uk,Category:21st-century_American_rappers Category:American_hip_hop_record_producers Category:Record_producers_from_California Category:Gangsta_rappers Category:West_Coast_hip_hop_musicians Category:Film_producers_from_California,3.023151334
DJ_King_Assassin,784,1,en,,
,,,,,
Lenny_Harris,717,5,en ar fr ja pt,Category:Billings_Mustangs_players Category:Tampa_Tarpons_(1957–1987)_players Category:Cincinnati_Reds_players Category:1964_births Category:Milwaukee_Brewers_players Category:Nashville_Sounds_players Category:Vermont_Reds_players Category:Cedar_Rapids_Reds_players,4.178950277
Rob_Dibble,1099,5,en ar fr ja pt,,
