Name,Text Length,Language Count,Languages,Categories in common,Match Score
Pedro_Solbes,145,19,en ast be-x-old ca de eo es eu fr gl it nl pl pt ru sv tr uk zh,,
,,,,,
Ellen_van_Langen,597,19,en ca cs de es fa fi fr hu it ko nl nn no pl pt ru sl sv,Category:Universiade_medalists_in_athletics_(track_and_field) Category:Athletes_(track_and_field)_at_the_1992_Summer_Olympics Category:Medalists_at_the_1992_Summer_Olympics Category:Olympic_gold_medalists_in_athletics_(track_and_field),3.588724469
Hwang_Young-cho,394,19,en an ca cs de es fa fi fr it ja ko nl no pl pt ru sv zh,,
,,,,,
Elena_Bovina,291,22,en ar cs de eml es fa fr it ja mr nl pl pt ru simple sk sl sv tr uk zh,Category:Grand_Slam_(tennis)_champions_in_mixed_doubles Category:Australian_Open_(tennis)_champions Category:Sportspeople_from_Moscow,4.88032423
Andrei_Olhovskiy,568,15,en ar de es fa fr hi hy it nl pl pt ru sk sl,,
,,,,,
Charisma_Carpenter,1293,30,en af ar ast az azb cs de es et eu fa fi fr hu hy it ja kk ko nl no pl pt ru simple sv tr uk ur,Category:American_people_of_French_descent Category:American_people_of_Spanish_descent,2.035390104
Andrew_Jolivette,801,1,en,,
,,,,,
Caroline_Alexander,477,9,en ar ast cy es fr nl pl pt,Category:Cyclists_at_the_2002_Commonwealth_Games Category:Cyclists_at_the_2000_Summer_Olympics Category:Olympic_cyclists_of_Great_Britain Category:Cyclists_at_the_1996_Summer_Olympics Category:British_Cycling_Hall_of_Fame_inductees,5.040306932
Rob_Hayles,584,15,en ar ca cy de es fa fr it ja nl pl pt sv uk,,
,,,,,
Taylor_Dayne,1260,27,en ar arz ast azb bg cs da de es fa fi fr it ja kk ko nl pl pt ru simple sk sv th tr uk,Category:American_pop_singers Category:20th-century_American_singers Category:Musicians_from_the_New_York_metropolitan_area Category:Songwriters_from_New_York_(state) Category:Singers_from_New_York_(state) Category:21st-century_American_singers,2.753324251
Mike_DelGuidice,770,1,en,,
